Test,Goal,Name,File,Number of Procs,realTimeON,expElementType,holdPierON,h_water,gmDir,gmVelFile,gmStartTime,DT_FACTOR,gmScaleFactor,soilProfile,soilEleType,soilConstitutive,soilMesh,DOFs,eqIntegrator,prePartitionSystem,postPartitionSystem,constraintsHandler,rayleighT1,rayleighT2,rayleighXi1,rayleighXi2,rayleighOffFac,rayleighStiff,rayleighSoilON,rayleighBoundON,rayleighSprPileON,rayleighSprCapFaceON,rayleighSprSoffitON,rayleighPilesON,rayleighCapON,rayleighDeckON,rayleighPierON,rayleighPierHingeON,DateTime,DumpFolder,MatFile,LabTrial,Note
W01,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,RunParallel.tcl,4,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:00,0819_GusBridge_Parallel4_H0p5_T7p746_reg,0819_GusBridge_Parallel4_H0p5_T7p746_reg.mat,1,Wed Trial01 Parallel4; GM start ~70 s full scale; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W02,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:22,0819_GusBridge_Parallel8_H0p5_T7p746_reg,0819_GusBridge_Parallel8_H0p5_T7p746_reg.mat,2,Wed Trial02 Parallel8; GM start ~150 s full scale; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W03,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:30,0819_GusBridge_Serial_H0p5_T7p746_reg,0819_GusBridge_Serial_H0p5_T7p746_reg.mat,3,Wed Trial03 Serial; Run Log: did not complete data; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W04,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:44,0819_GusBridge_Serial_H0p5_T7p746_reg_Trial02,0819_GusBridge_Serial_H0p5_T7p746_reg_Trial02.mat,4,Wed Trial04 Serial Trial02; Run Log: holding / actuator shaking; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W05,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:50,0819_GusBridge_Parallel16_H0p5_T7p746_reg,0819_GusBridge_Parallel16_H0p5_T7p746_reg_Trial02.mat,5,Wed Trial05 Parallel16; dump folder name omits Trial02; mat is *_Trial02.mat; GM 150 s full scale; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W06,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,RunParallel.tcl,4,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 16:55,0819_GusBridge_Parallel4_H0p5_T7p746_reg_Trial02,0819_GusBridge_Parallel4_H0p5_T7p746_reg_Trial02.mat,6,Wed Trial06 Parallel4 Trial02; soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
W07,MP CPU integrator+solver ProfileSPD,EQ + deep-water wave,RunParallel.tcl,24,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,19 (WED0819),2136,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-19 17:10,0819_GusBridge_Parallel24_H0p5_T7p746_reg,0819_GusBridge_Parallel24_H0p5_T7p746_reg.mat,7,Wed Trial07 Parallel24 (Run Log: same as 16); soilMesh 19 = Wed 2026-08-19 (outer 20 ft)
F01,MP CPU integrator+solver ProfileSPD,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 08:36,r+01_20260821_0836_Storm_Wave,0821_testBaseline_Run02.mat,1,Trial01; dry OpenFresco baseline (PID); no wet flume motion
F03,MP CPU integrator+solver ProfileSPD,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 09:30,r+01_20260821_0930_Storm_Wave,0821_GusBridge_rowPos1.mat,3,Trial03; np=8; 1 slowdown
F04,MP CPU integrator+solver ProfileSPD,EQ then wave,RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 09:49,r+01_20260821_0949_Storm_Wave,0821_GusBridge_rowPos1_16Core.mat,4,Trial04; np=16; 5 slowdowns
